0         |Default                                                                                             
134961 200|134961 South of Canal - Two Story                                                                   
134962    |North of Canal                                                                                      
134962 DW |134962 Double Wide                                                                                  
134965    |Reata Ridge                                                                                         
134965 140|134965 Reata Ridge - Rambler with Basement                                                          
134965 200|134965 Reata Ridge - Two Story                                                                      
134965 220|134965 Reata Ridge - Two Story with Basement                                                        
134966    |The Ridge at Reata West                                                                             
135771    |Meadows East                                                                                        
135772    |The Heights                                                                                         
135773    |Clearwater Creek                                                                                    
135774    |Willowbrook                                                                                         
140000    |                                                                                                    
143414    |143414 Benton City                                                                                  
143414 001|143414 Benton City - Bare Land                                                                      
143414 100|143414 Benton City - One Story                                                                      
143414 120|143414 Benton City - One Story with Bonus                                                           
143414 140|143414 Benton City - Rambler with Basement                                                          
143414 141|143414 Benton City - Rambler with Basement >2000                                                    
143414 160|143414 Benton City - Rambler with Basement with Bonus                                               
143414 200|143414 Benton City - Two Story                                                                      
143414 220|143414 Benton City - Two Story with Basement                                                        
143414 240|143414 Benton City - Split-Entry                                                                    
143414 260|143414 Benton City - Tri-Level                                                                      
143414 300|143414 Benton City - One and One Half Story                                                         
143414 320|143414 Benton City - One and One Half Story with Basement                                           
143414 400|143414 Benton City - Single Wide                                                                    
143414 401|143414 Benton City - Double Wide                                                                    
143414 402|143414 Benton City - Triple Wide                                                                    
143414 411|143414 Benton City - Manufactured => 2003                                                           
143414 600|143414 Benton City - Duplex                                                                         
143414 620|143414 Benton City - Triplex                                                                        
143414 800|143414 Benton City - Outbuildings Only                                                              
143422    |143422 Benton City                                                                                  
143422 001|143422 Benton City - Bare Land                                                                      
143422 100|143422 Benton City - One Story                                                                      
143422 120|143422 Benton City - One Story with Bonus                                                           
143422 140|143422 Benton City - Rambler with Basement                                                          
143422 141|143422 Benton City - Rambler with Basement >2000 sf                                                 
143422 160|143422 Benton City - Rambler with Basement with Bonus                                               
143422 200|143422 Benton City - Two Story                                                                      
143422 220|143422 Benton City - Two Story with Basement                                                        
143422 240|143422 Benton City - Split-Entry                                                                    
143422 260|143422 Benton City - Tri-Level                                                                      
143422 300|143422 Benton City - One and One Half Story                                                         
143422 400|143422 Benton City - Single Wide                                                                    
143422 401|143422 Benton City - Double Wide                                                                    
143422 402|143422 Benton City - Triple Wide                                                                    
143422 411|143422 Benton City - Manufactured => 2003                                                           
143422 800|143422 Benton City - Outbuildings Only                                                              
143561    |                                                                                                    
143561 001|143561 Outlying Prosser - Bare Land                                                                 
143561 100|143561 Outlying Prosser - One Story                                                                 
143561 101|143561 Outlying Prosser - One Story > 3000 sf                                                       
143561 120|143561 Outlying Prosser - One Story with Bonus                                                      
143561 140|143561 Outlying Prosser - Rambler with Basement                                                     
143561 200|143561 Outlying Prosser - Two Story                                                                 
143561 220|143561 Outlying Prosser - Two Story with Basement                                                   
143561 240|143561 Outlying Prosser - Split-Entry                                                               
143561 260|143561 Outlying Prosser - Tri-Level                                                                 
143561 300|143561 Outlying Prosser - One and One Half Story                                                    
143561 320|143561 Outlying Prosser - One and One Half Story with Basement                                      
143561 400|143561 Outlying Prosser - Single Wide                                                               
143561 401|143561 Outlying Prosser - Double Wide                                                               
143561 402|143561 Outlying Prosser - Triple Wide                                                               
143561 600|143561 Outlying Prosser - Duplex                                                                    
143561 800|143561 Outlying Prosser - Outbuildings Only                                                         
143569    |S OIE North of River                                                                                
143675    |143675 Sophie Rae Estates                                                                           
143676    |Richards Road Area                                                                                  
143676 001|143676 Richards Road Area - Bare Land                                                               
143676 100|143676 Richards Road Area - One Story                                                               
143676 120|143676 Richards Road Area - One Story with Bonus                                                    
143676 140|143676 Richards Road Area - Rambler with Basement                                                   
143676 200|143676 Richards Road Area - Two Story                                                               
143676 220|143676 Richards Road Area - Two Story with Basement                                                 
143676 240|143676 Richards Road Area - Split-Entry                                                             
143676 260|143676 Richards Road Area - Tri-Level                                                               
143676 300|143676 Richards Road Area - One and One Half Story                                                  
143676 320|143676 Richards Road Area - One and One Half Story with Basement                                    
143676 400|143676 Richards Road Area - Single Wide                                                             
143676 401|143676 Richards Road Area - Double Wide                                                             
143676 402|143676 Richards Road Area - Triple Wide                                                             
143676 800|143676 Richards Road Area - Outbuildings Only                                                       
143677    |                                                                                                    
143677 001|143677 Prosser - Bare Land                                                                          
143677 100|143677 Prosser - One Story                                                                          
143677 120|143677 Prosser - One Story with Bonus                                                               
143677 140|143677 Prosser - Rambler with Basement                                                              
143677 160|143677 Prosser - Rambler with Basement with Bonus                                                   
143677 200|143677 Prosser - Two Story                                                                          
143677 220|143677 Prosser - Two Story with Basement                                                            
143677 240|143677 Prosser - Split-Entry                                                                        
143677 260|143677 Prosser - Tri-Level                                                                          
143677 300|143677 Prosser - One and One Half Story                                                             
143677 320|143677 Prosser - One and One Half Story with Basement                                               
143677 400|143677 Prosser - Single Wide                                                                        
143677 401|143677 Prosser - Double Wide                                                                        
143677 402|143677 Prosser - Triple Wide                                                                        
143677 500|143677 Prosser - Condominium                                                                        
143677 600|143677 Prosser - Duplex                                                                             
143677 620|143677 Prosser - Triplex                                                                            
143677 800|143677 Prosser - Outbuildings Only                                                                  
150000    |150000 Development Land                                                                             
150001    |150001 Ruppert & Demoss Road                                                                        
150001 400|150001 Ruppert & Demoss Road - Manufactured                                                         
150001 401|150001 Ruppert & Demoss Road - Manufactured >2003                                                   
150002    |150002 Red Mountain                                                                                 
150002 400|150002 Red Mountain - Manufactured                                                                  
150002 401|150002 Red Mountain - Manufactured >2003                                                            
150003    |150003 Valley View Estates                                                                          
150003 400|150003 Valley View Estates - Manufactured                                                           
150003 401|150003 Valley View Estates - Manufactured >2003                                                     
150004    |150004 Harrington Road                                                                              
150004 400|150004 Harrington Road - Manufactured                                                               
150004 401|150004 Harrington Road - Manufactured >2003                                                         
150005    |150005 Canal Drive                                                                                  
150005 400|150005 Canal Drive - Manufactured                                                                   
150005 401|150005 Canal Drive - Manufactured >2003                                                             
150006    |150006 Paradise Way                                                                                 
150007    |150007 Bombing Range                                                                                
150007 400|150007 Bombing Range - Manufactured                                                                 
150008    |150008 Kingview                                                                                     
150009    |150009 Cherry Hill Estates                                                                          
150010    |150010 Riverside                                                                                    
150010 400|150010 Riverside - Manufactured                                                                     
150010 401|150010 Riverside - Manufactured >2003                                                               
150011    |150011 Van Giesen                                                                                   
150012    |150012 Tanglewood                                                                                   
150012 400|150012 Tanglewood - Manufactured                                                                    
150013    |150013 The Lakes                                                                                    
150014    |150014 Glenbrook                                                                                    
150014 400|150014 Glenbrook - Manufactured                                                                     
150014 401|150014 Glenbrook - Manufactured >2003                                                               
150015    |150015 Candy Mountain                                                                               
150016    |150016 Dallas Road                                                                                  
150016 400|150016 Dallas Road - Manufactured                                                                   
150016 401|150016 Dallas Road - Manufactured >2003                                                             
150017    |150017 White Bluffs                                                                                 
150018    |150018 Hearthstone                                                                                  
150018 500|150018 - Hearthstone Townhomes                                                                      
150019    |150019 Horizon Heights                                                                              
150020    |150020 Country Ridge                                                                                
150021    |150021 Horn Rapids                                                                                  
150022    |150022 Horn Creek                                                                                   
160000    |160000 - Reval 6 Bare Land                                                                          
160001    |160001 - Willow Pointe                                                                              
160002    |160002 - University Park                                                                            
160002 520|160002 University Park - Townhome and Patio Home                                                    
160003    |160003 - Rivercrest Terrace                                                                         
160003 900|160003 - Rivercrest Terrace River Lots                                                              
160004    |160004 - Carriage Hills/Richland Village                                                            
160004 200|160004 - Carriage Hills/Richland Village                                                            
160004 500|160004 - Carriage Hills/Richland Village Condo/Townhome                                             
160004 900|160004 - Carriage Hills/Richland Village 101-1,000 sf                                               
160005    |160005 - Garden Park                                                                                
160005 901|160005 - Garden Park 101 - 1,500 sf                                                                 
160005 902|160005 - Garden Park 1,501 - 2,000 sf                                                               
160005 903|160005 - Garden Park 2,001 - 3,000 sf                                                               
160006    |160006 - East Historic Richland                                                                     
160006 901|160006 - East Historic Richland 101 - 1,500 sf                                                      
160006 902|160006 - East Historic Richland 1,501 - 2,000 sf                                                    
160006 903|160006 - East Historic Richland 2,001 - 3,000 sf                                                    
160007    |160007 - West Historic Richland                                                                     
160007 900|160007 - West Historic Richland 101 - 1,000 sf                                                      
160007 901|160007 - West Historic Richland 1,001 - 1,500 sf                                                    
160007 902|160007 - West Historic Richland 1,501 - 2,000 sf                                                    
160007 903|160007 - West Historic Richland 2,001 - 3,000 sf                                                    
160008    |160008 - North Historic Richland                                                                    
160008 500|160008 North Historic Richland - Condominium                                                        
160008 900|160008 - North Historic Richland 101 - 1,000 sf                                                     
160008 901|160008 - North Historic Richland 1,001 - 1,500 sf                                                   
160008 902|160008 - North Historic Richland 1,501 - 2,000 sf                                                   
160008 903|160008 - North Historic Richland 2,001 - 3,000 sf                                                   
160009    |160009 - Central Historic Richland                                                                  
160009 900|160009 - Central Historic Richland 101 - 1,000 sf                                                   
160009 901|160009 - Central Historic Richland 1,001 - 1,500 sf                                                 
160009 902|160009 - Central Historic Richland 1,501 - 2,000 sf                                                 
160009 903|160009 - Central Historic Richland 2,001 - 3,000 sf                                                 
160010    |160010- Columbia Heights                                                                            
160010 900|160010 - Columbia Heights 101 - 1,000 sf                                                            
160010 901|160010 - Columbia Heights 1,001 - 1,500 sf                                                          
160010 902|160010 - Columbia Heights 1,501 - 2,000 sf                                                          
160010 903|160010 - Columbia Heights 2,001 - 3,000 sf                                                          
160011    |160011 - South Historic Richland                                                                    
160011 900|160011 - South Historic Richland 101 - 1,000 sf                                                     
160011 901|160011 - South Historic Richland 1,001 - 1,500 sf                                                   
160011 902|160011 - South Historic Richland 1,501 - 2,000 sf                                                   
160011 903|160011 - South Historic Richland 2,001 - 3,000 sf                                                   
160012    |160012 - Columbia Point/River Walk Village                                                          
160013    |160013 - Hills West/Heritage Hills                                                                  
160013 1  |160013 - Hills West/Heritage Hills 1 Single Level                                                   
160013 2  |160013 - Hills West/Heritage Hills 2 Multi-Level                                                    
160013 3  |160013 - Hills West/Heritage Hills 3 Condo/Townhome                                                 
160013 4  |160013 - Hills West/Heritage Hills 4 Manufactured Home                                              
160014    |160014 - Tapteal West                                                                               
160014 1  |160014 - Tapteal West 1 Single Level                                                                
160014 2  |160014 - Tapteal West 2 Multi-Level                                                                 
160014 4  |160014 - Tapteal West 4 Manufactured Home                                                           
160014 500|160014 Tapteal West - Condominium                                                                   
160015    |160015 - Applewood Estates                                                                          
160016    |160016 - Cherrywood Estates                                                                         
160017    |160017 - Westcliffe                                                                                 
160018    |160018 - Badger Mountain Village                                                                    
160019    |160019 - Aspen Meadows/Lexington Heights                                                            
160020    |160020 - Sagewood Meadows/Badger Park Estates                                                       
170000    |test parcel for new plats                                                                           
199999    |                                                                                                    
2000      |Neghborhood 2                                                                                       
340000    |                                                                                                    
400001    |                                                                                                    
410000    |                                                                                                    
410005    |Saltz Overnighter RV - Kenn                                                                         
410100R3MP|MFH Park R3 Avg                                                                                     
41010MFHPK|Reval 3 Avg MFH Park                                                                                
410999    |MH Dealer in Reval 1                                                                                
413003    |Columbia Mobile Village - Kenn                                                                      
413004    |Homestead MHP - Kennewick                                                                           
413010    |Trailer City Park - Kennewick                                                                       
413012    |Highland Trailer Court - Kenn                                                                       
414001    |Whispering Winds MHP- Kenn                                                                          
414002    |Nelson's MHP - Kennewick                                                                            
414011    |Hambrook MH Park
Hambrook MFH Park                                                                 
414011NDW |Hambrook MFH Park N DW                                                                              
414016    |Maxey's MHP - Kennewick                                                                             
415001    |Whispering Winds MHP- Kenn                                                                          
415008    |Sun Meadows                                                                                         
415008DW  |Sun Meadows MHP DW
Sun Meadows MHP DW                                                              
415008SW  |Sun Meadows MHP SW                                                                                  
