branch_name,lineage_class,mergeability_class,root_commit_family,shares_ancestor_with_main_flag,merge_base_with_main,unrelated_history_flag,ahead_of_main,behind_main
copilot/cp11-scope-proof-enobufs-fix,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1626,194
copilot/d2-fix-generated-js,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1716,194
copilot/dx02-governed-local-runtime-smoke,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1671,194
copilot/dx02-governed-local-runtime-smoke-codex,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1748,194
copilot/dx03-postmerge-guid-contract-hotfix,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1682,194
copilot/dx03-property-service-di-repair,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1673,194
copilot/dx04-costforge-permission-normalization,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1675,194
copilot/dx05-correlationid-error-paths,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1674,194
copilot/fix-agent-environment-issues,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,286,194
copilot/fix-github-workflow-errors,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,283,194
copilot/gate-skip-claude-worktrees,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1597,194
copilot/h1-d2-test-vitest-pickup,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1717,194
copilot/h2-leak-guard-strict-coverage,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1748,194
copilot/h2.1-token-and-vitest-cleanup,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1720,194
copilot/h3-tdc-zero-baseline,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1722,194
copilot/lane-t-contract-freeze,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1588,194
copilot/lane-u-governed-execution-spine,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1595,194
copilot/pr-ui1-execution-console,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1533,194
copilot/r1-auth-enablement,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1685,194
copilot/r1-boot-wiring-activation,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1676,194
copilot/r1-contract-tests,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1698,194
copilot/r1-costforge-200,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1689,194
copilot/r1-cx25-frontend-dossier-adoption,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1661,194
copilot/r1-cx27-runtime-validation,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1661,194
copilot/r1-d1-write-attempt-trace-export,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1711,194
